countryCode,name,wikidataID,gender,twitterScreenname,twitterID,positionHeld,group,groupFromState,district
US,Warren Davidson,http://www.wikidata.org/entity/Q24458117,male,vote_davidson || warrendavidson,4624539143 || 742735530287304704,United States representative,Republican Party,Republican Party,Ohio's 8th congressional district
US,Clay Higgins,http://www.wikidata.org/entity/Q25849505,male,repclayhiggins,843636970538618880,United States representative,Republican Party,Republican Party,Louisiana's 3rd congressional district
US,Ilhan Omar,http://www.wikidata.org/entity/Q26436159,female,ilhan || ilhanmn,1082334352711790593 || 783792992,United States representative,Democratic Party || Minnesota Democratic–Farmer–Labor Party,Democratic Party,Minnesota's 5th congressional district
US,Mike Gallagher,http://www.wikidata.org/entity/Q27842981,male,repgallagher,815966620300480514,United States representative,Republican Party,Republican Party,Wisconsin's 8th congressional district
US,Dusty Johnson,http://www.wikidata.org/entity/Q30015838,male,dustyjohnson || repdustyjohnson,140529899 || 1074782372594413569,United States representative,Republican Party,Republican Party,South Dakota's at-large congressional district
US,Dan Crenshaw,http://www.wikidata.org/entity/Q58301995,male,repdancrenshaw,1080894931311431682,United States representative,Republican Party,Republican Party,Texas's 2nd congressional district
US,Sharice Davids,http://www.wikidata.org/entity/Q58322868,female,sharicedavids,950952511556538368,United States representative,Democratic Party,Democratic Party,Kansas's 3rd congressional district
US,Cindy Axne,http://www.wikidata.org/entity/Q58324150,female,repcindyaxne || axne4congress,1080865917377097728 || 867495243482058755,United States representative,Democratic Party,Democratic Party,Iowa's 3rd congressional district
US,Lizzie Pannill Fletcher,http://www.wikidata.org/entity/Q58324313,female,repfletcher,1075904377221722113,United States representative,Democratic Party,Democratic Party,Texas's 7th congressional district
US,Tulsi Gabbard,http://www.wikidata.org/entity/Q32620,female,tulsigabbard,26637348,United States representative,Democratic Party || independent politician,Democratic Party,Hawaii's 2nd congressional district
US,Doug Lamborn,http://www.wikidata.org/entity/Q371106,male,repdlamborn,584012853,United States representative,Republican Party,Republican Party,Colorado's 5th congressional district
US,Charlie Crist,http://www.wikidata.org/entity/Q374693,male,charliecrist || repcharliecrist,38970940 || 816030424778543104,United States representative,Republican Party || Democratic Party,Democratic Party,Florida's 13th congressional district
US,Mark Takano,http://www.wikidata.org/entity/Q399593,male,repmarktakano,1037321378,United States representative,Democratic Party,Democratic Party,California's 41st congressional district
US,Rob Bishop,http://www.wikidata.org/entity/Q433857,male,reprobbishop,148006729,United States representative,Republican Party,Republican Party,Utah's 1st congressional district
US,Virginia Foxx,http://www.wikidata.org/entity/Q458453,female,virginiafoxx,16256269,United States representative,Republican Party,Republican Party,North Carolina's 5th congressional district
US,Kathy Castor,http://www.wikidata.org/entity/Q458492,female,usrepkcastor,1880674038,United States representative,Democratic Party,Democratic Party,Florida's 14th congressional district
US,Sam Graves,http://www.wikidata.org/entity/Q465638,male,repsamgraves,29766367,United States representative,Republican Party,Republican Party,Missouri's 6th congressional district
US,Fred Upton,http://www.wikidata.org/entity/Q505236,male,repfredupton,124224165,United States representative,Republican Party,Republican Party,Michigan's 6th congressional district
US,Andy Harris,http://www.wikidata.org/entity/Q506639,male,repandyharrismd,960962340,United States representative,Republican Party,Republican Party,Maryland's 1st congressional district
US,Steve Cohen,http://www.wikidata.org/entity/Q512330,male,repcohen,162069635,United States representative,Democratic Party,Democratic Party,Tennessee's 9th congressional district
US,André Carson,http://www.wikidata.org/entity/Q517649,male,repandrecarson,199325935,United States representative,Democratic Party,Democratic Party,Indiana's 7th congressional district
US,Blaine Luetkemeyer,http://www.wikidata.org/entity/Q522181,male,repblaine,1849261916,United States representative,Republican Party,Republican Party,Missouri's 3rd congressional district
US,Dina Titus,http://www.wikidata.org/entity/Q524440,female,repdinatitus,122174004,United States representative,Democratic Party,Democratic Party,Nevada's 1st congressional district
US,Ken Calvert,http://www.wikidata.org/entity/Q538978,male,kencalvert,22545491,United States representative,Republican Party,Republican Party,California's 42nd congressional district
US,Cedric Richmond,http://www.wikidata.org/entity/Q561284,male,reprichmond,267854863,United States representative,Democratic Party,Democratic Party,Louisiana's 2nd congressional district
US,Brad Sherman,http://www.wikidata.org/entity/Q672919,male,bradsherman,30216513,United States representative,Democratic Party,Democratic Party,California's 30th congressional district
US,Earl Blumenauer,http://www.wikidata.org/entity/Q748066,male,repblumenauer,15954997,United States representative,Democratic Party,Democratic Party,Oregon's 3rd congressional district
US,Kevin McCarthy,http://www.wikidata.org/entity/Q766866,male,speakermccarthy || gopleader,19739126,United States representative,Republican Party,Republican Party,California's 23rd congressional district
US,Bill Flores,http://www.wikidata.org/entity/Q862103,male,repbillflores,237312687,United States representative,Republican Party,Republican Party,Texas's 17th congressional district
US,Bobby Rush,http://www.wikidata.org/entity/Q888599,male,repbobbyrush,305216911,United States representative,Democratic Party,Democratic Party,Illinois's 1st congressional district
US,Joe Wilson,http://www.wikidata.org/entity/Q928855,male,repjoewilson,254082173,United States representative,Republican Party,Republican Party,South Carolina's 2nd congressional district
US,Danny K. Davis,http://www.wikidata.org/entity/Q1164657,male,repdannydavis,789244177,United States representative,Democratic Party,Democratic Party,Illinois's 7th congressional district
US,David Schweikert,http://www.wikidata.org/entity/Q1176561,male,repdavid,229197216,United States representative,Republican Party,Republican Party,Arizona's 6th congressional district
US,Jim Langevin,http://www.wikidata.org/entity/Q1397290,male,jimlangevin,18909919,United States representative,Democratic Party,Democratic Party,Rhode Island's 2nd congressional district
US,Rick Crawford,http://www.wikidata.org/entity/Q2151554,male,reprickcrawford,233693291,United States representative,Republican Party,Republican Party,Arkansas's 1st congressional district
US,Tom Reed,http://www.wikidata.org/entity/Q2440035,male,reptomreed,252819323,United States representative,Republican Party,Republican Party,New York's 23rd congressional district
US,Ami Bera,http://www.wikidata.org/entity/Q3389105,male,repbera,950783972,United States representative,Democratic Party,Democratic Party,California's 7th congressional district
US,Anthony Gonzalez,http://www.wikidata.org/entity/Q3487172,male,repagonzalez || anthonygonzalez,1054381765224210432 || 900025544032624640,United States representative,Republican Party,Republican Party,Ohio's 16th congressional district
