countryCode,name,wikidataID,gender,twitterScreenname,twitterID,positionHeld,group,groupFromState,district
US,Richard Shelby,http://www.wikidata.org/entity/Q472254,male,senshelby,21111098,United States senator,Republican Party || Democratic Party,Republican Party,Alabama Class 3 senate seat
US,Chuck Grassley,http://www.wikidata.org/entity/Q529294,male,chuckgrassley,10615232,United States senator,Republican Party,Republican Party,Iowa Class 3 senate seat
US,John Cornyn,http://www.wikidata.org/entity/Q719568,male,johncornyn,13218102,United States senator,Republican Party,Republican Party,Texas Class 2 senate seat
US,Robert Menendez,http://www.wikidata.org/entity/Q888132,male,senatormenendez,18695134,United States senator,Democratic Party,Democratic Party,New Jersey Class 1 senate seat
US,Pat Toomey,http://www.wikidata.org/entity/Q971308,male,sentoomey,221162525,United States senator,Republican Party,Republican Party,Pennsylvania Class 3 senate seat
US,Ed Markey,http://www.wikidata.org/entity/Q1282411,male,senmarkey,21406834,United States senator,Democratic Party,Democratic Party,Massachusetts Class 2 senate seat
US,John Boozman,http://www.wikidata.org/entity/Q1344707,male,boozman4ar || johnboozman,111671288 || 5558312,United States senator,Republican Party,Republican Party,Arkansas Class 3 senate seat
US,Tom Cotton,http://www.wikidata.org/entity/Q3090307,male,sentomcotton || tomcottonar,968650362 || 343041182,United States senator,Republican Party,Republican Party,Arkansas Class 2 senate seat
US,Thom Tillis,http://www.wikidata.org/entity/Q7786750,male,senthomtillis,2964174789,United States senator,Republican Party,Republican Party,North Carolina Class 2 senate seat
US,Kelly Loeffler,http://www.wikidata.org/entity/Q76570207,female,kloeffler,29495695,United States senator,Republican Party,Republican Party,Georgia Class 3 senate seat
