Title,twitter,Ideology,URL,URL Reconstruct,URL Redirect Reconstruct,Location,Parent,Parent URL,Parent Country
act.tv,actdottv,Left,http://www.act.tv,act.tv,act.tv,,Act.TV,http://act.tv,United States
Aftonbladet,aftonbladet,Left,https://www.aftonbladet.se,aftonbladet.se,aftonbladet.se,Stockholm,Aftonbladet,https://www.aftonbladet.se,Sweden
Aftonbladet Kultur,aftonbladetk,Left,http://www.aftonbladet.se/kultur,aftonbladet.se,aftonbladet.se,"Stockholm, Sweden",Aftonbladet,https://www.aftonbladet.se,Sweden
Aftonbladet Debatt,abdebatt,Left,http://www.aftonbladet.se/debatt,aftonbladet.se,aftonbladet.se,Stockholm,Aftonbladet,https://www.aftonbladet.se,Sweden
Aftonbladet Nöje,aftonbladetnoje,Left,http://www.aftonbladet.se/nojesbladet/,aftonbladet.se,aftonbladet.se,Sverige,Aftonbladet,https://www.aftonbladet.se,Sweden
Aftonbladet Resa,aftonbladetresa,Left,http://www.aftonbladet.se/resa,aftonbladet.se,aftonbladet.se,,Aftonbladet,https://www.aftonbladet.se,Sweden
Aftonbladet Mat&Vin,abmatvin,Left,http://www.aftonbladet.se/matvin/,aftonbladet.se,aftonbladet.se,Sweden,Aftonbladet,https://www.aftonbladet.se,Sweden
Aftonbladet Retro,aftretro,Left,http://www.aftonbladet.se,aftonbladet.se,aftonbladet.se,Stockholm,Aftonbladet,https://www.aftonbladet.se,Sweden
Alliance for Justice,afjustice,Left,http://www.afj.org,afj.org,afj.org,"Washington, DC",Alliance for Justice (AFJ),https://www.afj.org/,United States
Alt News,altnews,Left,https://www.altnews.in,altnews.in,altnews.in,,Alt News,https://www.altnews.in,India
Alt News Science,altnewsscience,Left,https://www.altnews.in/topics/science/,altnews.in,altnews.in,,Alt News,https://www.altnews.in,India
AlterNet,alternet,Left,http://www.alternet.org,alternet.org,alternet.org,,AlterNet,https://www.alternet.org/,United States
Amandla!,amandlamedia,Left,http://www.aidc.org.za/amandla-media,aidc.org.za,aidc.org.za,South Africa,Amandla,http://aidc.org.za/amandla-media/,South Africa
AMERICAblog News,americablog,Left,http://americablog.com,americablog,americablog,"Washington, DC",AmericaBlog,http://americablog.com/,United States
American Bridge 21st Century,american_bridge,Left,http://americanbridgepac.org,americanbridgepac.org,americanbridgepac.org,America,American Bridge 21st Century,https://americanbridgepac.org/,United States
American Oversight,weareoversight,Left,http://americanoversight.org,americanoversight.org,americanoversight.org,,American Oversight,https://www.americanoversight.org,United States
Austin Evers,arevers,Left,http://www.americanoversight.org,americanoversight.org,americanoversight.org,"Washington, DC",American Oversight,https://www.americanoversight.org,United States
American Oversight en Español,ojocorrupcion,Left,http://www.americanoversight.org,americanoversight.org,americanoversight.org,,American Oversight,https://www.americanoversight.org,United States
Americans United,americansunited,Left,https://www.au.org/,au.org,au.org,"Washington, D.C.",Americans United for Separation of Church and State,https://www.au.org/,Unknown
ARV,attackthesystem,Left,http://attackthesystem.com,attackthesystem,attackthesystem,USA,Attack The System,https://attackthesystem.com/,United States
Autostraddle,autostraddle,Left,http://autostraddle.com,autostraddle,autostraddle,United States,AutoStraddle,https://www.autostraddle.com/,Unknown
Heather Hogan,theheatherhogan,Left,http://www.autostraddle.com/author/heatherannehogan/,autostraddle,autostraddle,"New York, NY",AutoStraddle,https://www.autostraddle.com/,Unknown
Carmen Phillips,carmencitaloves,Left,http://autostraddle.com/author/c-p,autostraddle,autostraddle,,AutoStraddle,https://www.autostraddle.com/,Unknown
Bay Area Reporter,ebarnews,Left,http://www.ebar.com,ebar,ebar,San Francisco Bay Area,Bay Area Reporter,https://www.ebar.com/,United States
BillMoyers.com,billmoyers,Left,http://www.billmoyers.com,billmoyers,billmoyers,,BillMoyers.com,https://billmoyers.com/,United States
Bitch Media,bitchmedia,Left,http://bitchmedia.org,bitchmedia.org,bitchmedia.org,"Portland, OR",Bitch Media,https://bitchmedia.org/,United States
Black Agenda Report,blkagendareport,Left,http://www.blackagendareport.com,blackagendareport,blackagendareport,the real world,Black Agenda Report,https://blackagendareport.com/,United States
Glen Ford,glenfordbar,Left,http://www.blackagendareport.com,blackagendareport,blackagendareport,"Plainfield, NJ USA",Black Agenda Report,https://blackagendareport.com/,United States
The Black Agenda Review,agendareview,Left,"https://blackagendareport.com/author/editors,%20the%20black%20agenda%20review",blackagendareport,blackagendareport,Pan-Africa.,Black Agenda Report,https://blackagendareport.com/,United States
AnnGarrison,anngarrison,Left,"https://www.blackagendareport.com/author/ann%20garrison,%20bar%20contributing%20editor",blackagendareport,blackagendareport,"Berkeley, CA",Black Agenda Report,https://blackagendareport.com/,United States
BAR Book Forum,barbookforum,Left,https://www.blackagendareport.com/search?key=bar+book+forum,blackagendareport,blackagendareport,,Black Agenda Report,https://blackagendareport.com/,United States
BlackAmericaWeb.com,blackamericaweb,Left,http://www.blackamericaweb.com,blackamericaweb,blackamericaweb,"Dallas, TX",Black America Web,https://blackamericaweb.com/,United States
Black Lives Matter,blklivesmatter,Left,http://blacklivesmatter.com/,blacklivesmatter,blacklivesmatter,worldwide,Black Lives Matter,https://blacklivesmatter.com,United States
Anonymous. ACAB. Black Lives Matter. Anti-Fascist.,anonyops,Left,https://blacklivesmatter.com/,blacklivesmatter,blacklivesmatter,"Behind you, USA",Black Lives Matter,https://blacklivesmatter.com,United States
Boing Boing,boingboing,Left,http://www.boingboing.net,boingboing.net,boingboing.net,Directory of Wonderful Things,Boing Boing,https://boingboing.net,United States
Boston Review,bostonreview,Left,http://bostonreview.net,bostonreview.net,bostonreview.net,"Cambridge, MA",Boston Review,http://bostonreview.net,United States
BUST Magazine,bust_magazine,Left,http://www.bust.com,bust,bust,"Brooklyn, baby",Bust Magazine,https://bust.com,United States
Emily Rems,emilyrems,Left,http://bust.com/poptarts,bust,bust,"New York, NY",Bust Magazine,https://bust.com,United States
Capital & Main,capitalandmain,Left,https://capitalandmain.com/sign-up,capitalandmain,capitalandmain,Los Angeles,Capital & Main,https://capitalandmain.com,United States
Care2.com,care2,Left,http://www.care2.com,care2,care2,"San Francisco, CA",Care2,https://www.care2.com,United States
Randy Paynter,paynter,Left,http://care2.com,care2,care2,SF Bay Area,Care2,https://www.care2.com,United States
Rhiannan Sullivan,rhisul,Left,http://www.care2.com,care2,care2,London,Care2,https://www.care2.com,United States
Ceasefire Magazine,ceasefiremag,Left,http://www.ceasefiremagazine.co.uk,ceasefiremagazine.co.uk,ceasefiremagazine.co.uk,UK,Ceasefire Magazine,https://ceasefiremagazine.co.uk/,United Kingdom
American Progress,amprog,Left,http://www.americanprogress.org,americanprogress.org,americanprogress.org,"Washington, DC",Center for American Progress,https://www.americanprogress.org/,United States
CAP K-12 Education,edprogress,Left,http://www.americanprogress.org/issues/education/view/,americanprogress.org,americanprogress.org,Washington D.C.,Center for American Progress,https://www.americanprogress.org/,United States
CAP Ocean,oceanprogress,Left,http://www.americanprogress.org/issues/green/view/,americanprogress.org,americanprogress.org,"Washington, DC",Center for American Progress,https://www.americanprogress.org/,United States
CAP Immigration,capimmigration,Left,http://www.americanprogress.org/issues/immigration/view/,americanprogress.org,americanprogress.org,"Washington, DC",Center for American Progress,https://www.americanprogress.org/,United States
CAP Energy Policy,capenergypolicy,Left,http://www.americanprogress.org/issues/green/view/,americanprogress.org,americanprogress.org,"Washington, DC",Center for American Progress,https://www.americanprogress.org/,United States
Sam Hananel,samhananel,Left,http://www.americanprogress.org,americanprogress.org,americanprogress.org,"Washington, DC",Center for American Progress,https://www.americanprogress.org/,United States
Racial Equity and Justice Team,captalksrace,Left,https://www.americanprogress.org/issues/race/view/,americanprogress.org,americanprogress.org,Washington D.C,Center for American Progress,https://www.americanprogress.org/,United States
CAP NationalSecurity,capsecurity,Left,http://www.americanprogress.org/issues/security,americanprogress.org,americanprogress.org,"Washington, D.C.",Center for American Progress,https://www.americanprogress.org/,United States
CAP Economy,capeconomy,Left,http://www.americanprogress.org/issues/economy/view/,americanprogress.org,americanprogress.org,"Washington, DC",Center for American Progress,https://www.americanprogress.org/,United States
C4SS,c4ssdotorg,Left,http://c4ss.org,c4ss.org,c4ss.org,,Center for a Stateless Society,https://c4ss.org/,United States
Change.org,change,Left,http://www.change.org,change.org,change.org,,Change.org,https://www.change.org/,United States
Change.org UK,ukchange,Left,https://www.change.org/start-a-petition,change.org,change.org,,Change.org,https://www.change.org/,United States
Change.org India,changeorg_india,Left,http://change.org,change.org,change.org,India,Change.org,https://www.change.org/,United States
Change.org Australia,changeaus,Left,http://www.change.org,change.org,change.org,,Change.org,https://www.change.org/,United States
Change.Org Hindi,changeorg_hindi,Left,http://change.org/hindi,change.org,change.org,,Change.org,https://www.change.org/,United States
Change.org Canada,cdnchange,Left,http://www.change.org,change.org,change.org,Canada,Change.org,https://www.change.org/,United States
Chicago Reader,chicago_reader,Left,http://chicagoreader.com,chicagoreader,chicagoreader,"Chicago, IL",Chicago Reader,https://www.chicagoreader.com/,United States
The Chicago Reporter,chicagoreporter,Left,http://www.chicagoreporter.com/,chicagoreporter,chicagoreporter,Chicago,The Chicago Reporter,https://www.chicagoreporter.com/,United States
Glenn Reedus-Editor and Publisher-Chicago Reporter,greedus75glenn,Left,http://www.chicagoreporter.com,chicagoreporter,chicagoreporter,"Chicago, IL",The Chicago Reporter,https://www.chicagoreporter.com/,United States
China.org.cn,chinaorgcn,Left,http://www.china.org.cn,china.org.cn,china.org.cn,"Beijing, China",China Internet Information Center,http://www.china.org.cn/,China
China.org.cn German,germanchinaorgc,Left,http://china.org.cn,china.org.cn,china.org.cn,Beijing,China Internet Information Center,http://www.china.org.cn/,China
CitizenCritics,citizen_critics,Left,http://www.citizencritics.org,citizencritics.org,citizencritics.org,,Citizen Critics,https://citizencritics.org,United States
CNN,cnn,Left,http://www.cnn.com,cnn,cnn.edition,,CNN,https://www.cnn.com/,United States
CNN Breaking News,cnnbrk,Left,http://cnn.com/,cnn,cnn.edition,Everywhere,CNN,https://www.cnn.com/,United States
Dana Bash,danabashcnn,Left,http://cnn.com,cnn,cnn.edition,"Washington, D.C.",CNN,https://www.cnn.com/,United States
CNN Politics,cnnpolitics,Left,http://cnn.com/politics,cnn,cnn.edition,"Washington, DC",CNN,https://www.cnn.com/,United States
Kyung Lah,kyunglahcnn,Left,http://cnn.com,cnn,cnn.edition,"Los Angeles, CA, USA",CNN,https://www.cnn.com/,United States
CNN Weather Center,cnnweather,Left,http://www.cnn.com/weather,cnn,cnn.edition,"Atlanta, GA",CNN,https://www.cnn.com/,United States
CNN International,cnni,Left,http://cnn.com/international,cnn,cnn.edition,Everywhere,CNN,https://www.cnn.com/,United States
CNN Newsroom,cnnnewsroom,Left,http://cnn.com/newsroom,cnn,cnn.edition,"New York, NY",CNN,https://www.cnn.com/,United States
CODEPINK,codepink,Left,http://codepink.org,codepink.org,codepink.org,Everywhere,Code Pink,https://www.codepink.org,United States
CODEPINK Cleveland,codepinkcleve,Left,http://codepink.org,codepink.org,codepink.org,Cleveland Ohio,Code Pink,https://www.codepink.org,United States
Colorlines,colorlines,Left,http://www.colorlines.com,colorlines,colorlines,,ColorLines,https://www.colorlines.com,United States
Columbus Free Press,colsfreepress,Left,http://columbusfreepress.com/,columbusfreepress,columbusfreepress,"Columbus, OH",Columbus Free Press,https://columbusfreepress.com,United States
Columbus Free Press,cbusfreepress,Left,http://columbusfreepress.com,columbusfreepress,columbusfreepress,"Columbus, Ohio",Columbus Free Press,https://columbusfreepress.com,United States
Comic Sands,comicsandsdaily,Left,https://www.comicsands.com/,comicsands,comicsands,"New York, NY",Comic Sands,https://www.comicsands.com,United States
Common Dreams,commondreams,Left,https://www.commondreams.org,commondreams.org,commondreams.org,"Portland, ME, USA",Common Dreams,https://www.commondreams.org/,United States
Cop Block,copblock,Left,http://copblock.org,copblock.org,copblock.org,everywhere,Cop Block,http://www.copblock.org/,United States
Cosmopolitan,cosmopolitan,Left,http://www.cosmopolitan.com,cosmopolitan,cosmopolitan,"New York, NY",Cosmopolitan,https://www.cosmopolitan.com/,United States
Cosmopolitan UK,cosmopolitanuk,Left,http://www.cosmopolitan.com/uk/,cosmopolitan,cosmopolitan,,Cosmopolitan,https://www.cosmopolitan.com/,United States
Cosmopolitan,cosmopolitan_it,Left,https://www.cosmopolitan.com/it/,cosmopolitan,cosmopolitan,Italy,Cosmopolitan,https://www.cosmopolitan.com/,United States
Cosmopolitan,cosmopolitannl,Left,http://www.cosmopolitan.com/nl,cosmopolitan,cosmopolitan,Amsterdam,Cosmopolitan,https://www.cosmopolitan.com/,United States
Countercurrents.org,countercurrents,Left,http://www.countercurrents.org,countercurrents.org,countercurrents.org,,CounterCurrents.org,https://www.countercurrents.org/,India
CounterPunch,natcounterpunch,Left,http://counterpunch.org,counterpunch.org,counterpunch.org,PDX,CounterPunch,https://www.counterpunch.org,United States
"Jeffrey St. Clair, CounterPunch",jeffreystclair3,Left,http://www.counterpunch.org,counterpunch.org,counterpunch.org,Shadow of Mt. Hood,CounterPunch,https://www.counterpunch.org,United States
Jeffrey St. Clair,jsccounterpunch,Left,http://www.counterpunch.org,counterpunch.org,counterpunch.org,"Portland, OR",CounterPunch,https://www.counterpunch.org,United States
Nathaniel St. Clair,natstclair,Left,http://www.counterpunch.org/,counterpunch.org,counterpunch.org,"Portland, Or",CounterPunch,https://www.counterpunch.org,United States
Crikey,crikey_news,Left,https://www.crikey.com.au/,crikey.com.au,crikey.com.au,Australia,Crikey,https://www.crikey.com.au/,Australia
CrimethInc.,crimethinc,Left,https://crimethinc.com,crimethinc,crimethinc,Everywhere,CrimethInc,https://crimethinc.com/,United States
CrimethInc Austria,crimethinco5,Left,http://www.crimethinc.com/,crimethinc,crimethinc,Decentralized,CrimethInc,https://crimethinc.com/,United States
Crooked Media,crookedmedia,Left,http://crooked.com,crooked,crooked,"Los Angeles, CA",Crooked Media,https://crooked.com/,United States
Crooks and Liars,crooksandliars,Left,http://www.crooksandliars.com/,crooksandliars,crooksandliars,U.S.A.,Crooks and Liars,https://crooksandliars.com,United States
Red,redpainter1,Left,https://crooksandliars.com/user/red-painter,crooksandliars,crooksandliars,Maryland,Crooks and Liars,https://crooksandliars.com,United States
"Nicole ""Fully Vaccinated"" Belle",nicolebelle,Left,http://www.crooksandliars.com,crooksandliars,crooksandliars,SF Bay Area,Crooks and Liars,https://crooksandliars.com,United States
Current Affairs,curaffairs,Left,https://www.currentaffairs.org/,currentaffairs.org,currentaffairs.org,"New Orleans, LA",Current Affairs Magazine,https://www.currentaffairs.org/,United States
Curve Magazine,therealcurve,Left,https://curvemag.com,curvemag,curvemag,USA,Curve Magazine,http://www.curvemag.com,Unknown
The Daily Beast,thedailybeast,Left,https://www.thedailybeast.com/,thedailybeast,thedailybeast,"New York, NY",Daily Beast,https://www.thedailybeast.com/,United States
The Daily Dot,dailydot,Left,http://dailydot.com/,dailydot,dailydot,Online/IRL,Daily Dot,https://www.dailydot.com/,United States
Daily Kos,dailykos,Left,http://dailykos.com,dailykos,dailykos,,Daily Kos,https://www.dailykos.com/,United States
Daily Kos Elections,dkelections,Left,http://dailykos.com/morningdigest,dailykos,dailykos,"New York, NY",Daily Kos,https://www.dailykos.com/,United States
Susan Gardner,susangdailykos,Left,http://www.dailykos.com/,dailykos,dailykos,"Berkeley, CA",Daily Kos,https://www.dailykos.com/,United States
Greg Dworkin,demfromct,Left,http://dailykos.com,dailykos,dailykos,"Newtown, CT",Daily Kos,https://www.dailykos.com/,United States
Joan McCarter,joanmccarter,Left,http://www.dailykos.com/user/joan%20mccarter,dailykos,dailykos,,Daily Kos,https://www.dailykos.com/,United States
David Jarman,davidljarman,Left,http://dailykos.com/blogs/elections,dailykos,dailykos,"Seattle, WA",Daily Kos,https://www.dailykos.com/,United States
The Daily Record,daily_record,Left,http://www.dailyrecord.co.uk,dailyrecord.co.uk,dailyrecord.co.uk,Glasgow,Daily Record (Scotland),http://www.dailyrecord.co.uk/,Unknown
Paul Hutcheon,paulhutcheon,Left,https://www.dailyrecord.co.uk/authors/paul-hutcheon/,dailyrecord.co.uk,dailyrecord.co.uk,Glasgow,Daily Record (Scotland),http://www.dailyrecord.co.uk/,Unknown
Garry Owen,dr_garryowen,Left,http://www.dailyrecord.co.uk,dailyrecord.co.uk,dailyrecord.co.uk,,Daily Record (Scotland),http://www.dailyrecord.co.uk/,Unknown
Daily Sound and Fury,dailysoundnfury,Left,https://dailysoundandfury.com,dailysoundandfury,dailysoundandfury,,Daily Sound and Fury,https://dailysoundandfury.com,United States
Dallas Voice,dallasvoice,Left,http://dallasvoice.com,dallasvoice,dallasvoice,"Dallas, Texas",Dallas Voice,https://dallasvoice.com/,United States
DeadState.org,deadstatedotorg,Left,http://deadstate.org,deadstate.org,deadstate.org,"Los Angeles, CA",DeadState,https://deadstate.org/,United States
Deadspin,deadspin,Left,http://deadspin.com,deadspin,deadspin,,Deadspin,https://deadspin.com/,United States
Deadspin Deals,deadspindeals,Left,http://deadspin.com/deals,deadspin,deadspin,,Deadspin,https://deadspin.com/,United States
Carron J. Phillips,carronjphillips,Left,https://deadspin.com/author/carronjphillips,deadspin,deadspin,"Chicago, IL",Deadspin,https://deadspin.com/,United States
Deep South Voice,deepsouthvoice,Left,http://www.deepsouthvoice.com,deepsouthvoice,deepsouthvoice,"Mississippi, USA",Deep South Voice,https://deepsouthvoice.com/,United States
Democracy Chronicles,demchron,Left,https://democracychronicles.org/,democracychronicles.org,democracychronicles.org,New York City,Democracy Chronicles,https://democracychronicles.org,Unknown
Democracy Guardian,democracyguard,Left,https://democracyguardian.com/,democracyguardian,democracyguardian,United States,Democracy Guardian,https://democracyguardian.com,United States
Democracy Journal,demjournal,Left,http://www.democracyjournal.org,democracyjournal.org,democracyjournal.org,"Washington, D.C.",Democracy Journal,https://democracyjournal.org/,United States
Democracy Now!,democracynow,Left,https://www.democracynow.org,democracynow.org,democracynow.org,New York,Democracy Now,https://www.democracynow.org/,United States
DemUnderground,demunderground,Left,http://www.democraticunderground.com,democraticunderground,democraticunderground,Washington DC,Democratic Underground,https://www.democraticunderground.com/,United States
Deshabhimani,dbidaily,Left,http://www.deshabhimani.com,deshabhimani,deshabhimani,"Kerala, India",Deshabhimani,https://www.deshabhimani.com/,India
deshabhimani,deshabhimani,Left,http://www.deshabhimani.com,deshabhimani,deshabhimani,"kerala, india",Deshabhimani,https://www.deshabhimani.com/,India
Deshabhimani,deshabhimani1,Left,http://www.deshabhimani.com,deshabhimani,deshabhimani,"Kerala, India",Deshabhimani,https://www.deshabhimani.com/,India
DeSmog,desmogblog,Left,https://www.desmog.com/,desmogblog,desmog,Everywhere,DeSmogBlog,https://www.desmogblog.com/,United States
DeSmog UK,desmoguk,Left,http://www.desmog.com,desmogblog,desmog,"London, United Kingdom",DeSmogBlog,https://www.desmogblog.com/,United States
Detroit Metro Times,metrotimes,Left,http://www.metrotimes.com,metrotimes,metrotimes,Detroit,Detroit Metro Times,https://www.metrotimes.com,United States
Steve Neavling,mcmuckraker,Left,http://metrotimes.com,metrotimes,metrotimes,"Detroit, MI",Detroit Metro Times,https://www.metrotimes.com,United States
Dissent Magazine,dissentmag,Left,http://dissentmagazine.org/,dissentmagazine.org,dissentmagazine.org,"New York, NY",Dissent Magazine,https://www.dissentmagazine.org/,United States
Drudge Retort,drudgeretort,Left,http://www.drudge.com/,drudge,drudge,,Drudge Retort,https://drudge.com/,United States
EcoWatch,ecowatch,Left,http://ecowatch.com/,ecowatch,ecowatch,,Ecowatch,https://www.ecowatch.com,United States
Electronic Intifada,intifada,Left,http://electronicintifada.net,electronicintifada.net,electronicintifada.net,Palestine,Electronic Intifada,https://electronicintifada.net/,United States
Electronic Intifada,intifadalive,Left,http://electronicintifada.net,electronicintifada.net,electronicintifada.net,,Electronic Intifada,https://electronicintifada.net/,United States
Nora Barrows-Friedman,norabf,Left,https://electronicintifada.net/people/nora-barrows-friedman,electronicintifada.net,electronicintifada.net,bay area,Electronic Intifada,https://electronicintifada.net/,United States
David Cronin,dvcronin,Left,https://electronicintifada.net/blogs/david-cronin,electronicintifada.net,electronicintifada.net,Brussels,Electronic Intifada,https://electronicintifada.net/,United States
Elite Daily,elitedaily,Left,http://www.elitedaily.com,elitedaily,elitedaily,,Elite Daily,https://elitedaily.com/,United States
Esquire,esquire,Left,http://www.esquire.com,esquire,esquire,"New York, NY",Esquire Magazine,https://www.esquire.com,United States
Esquire UK,esquireuk,Left,http://www.esquire.com/uk/,esquire,esquire,London,Esquire Magazine,https://www.esquire.com,United States
Esquire España,esquirees,Left,http://www.esquire.com/es,esquire,esquire,Madrid,Esquire Magazine,https://www.esquire.com,United States
Everyday Feminism,evrydayfeminism,Left,http://everydayfeminism.com,everydayfeminism,everydayfeminism,,Everyday Feminism,https://everydayfeminism.com/,United States
Evonomics,evonomicsmag,Left,http://www.evonomics.com,evonomics,evonomics,,Evonomics,https://evonomics.com/,United States
Extra Newsfeed,extranewsfeed,Left,http://extranewsfeed.com,extranewsfeed,extranewsfeed,,ExtraNewsFeed,https://extranewsfeed.com,United States
Feminist Current,femlnistcurrent,Left,http://www.feministcurrent.com,feministcurrent,feministcurrent,"Vancouver, BC",Feminist Current,http://www.feministcurrent.com,Canada
Feministing,feministing,Left,http://www.feministing.com,feministing,feministing,,Feministing,http://feministing.com/,United States
The Fifth Column,thefifthcomumn,Left,http://thefifthcolumnnews.com,thefifthcolumnnews,thefifthcolumnnews,,The Fifth Column,https://thefifthcolumnnews.com/,United States
Fifth Estate,fifthestatemag,Left,http://www.fifthestate.org,fifthestate.org,fifthestate.org,"Detroit, Mich.",Fifth Estate,https://www.fifthestate.org/,United States
Food & Water Watch NJ,fwwnewjersey,Left,http://www.foodandwaterwatch.org/,foodandwaterwatch.org,foodandwaterwatch.org,"New Brunswick, NJ",Food and Water Watch,https://www.foodandwaterwatch.org,United States
Food and Water Watch,itookbackthetap,Left,http://www.foodandwaterwatch.org,foodandwaterwatch.org,foodandwaterwatch.org,"Washington, DC",Food and Water Watch,https://www.foodandwaterwatch.org,United States
Wenonah Hauter,wenonahhauter,Left,http://www.foodandwaterwatch.org,foodandwaterwatch.org,foodandwaterwatch.org,"Washington, DC/The Plains, VA",Food and Water Watch,https://www.foodandwaterwatch.org,United States
Food & Water Watch,fairfish,Left,http://www.foodandwaterwatch.org/fish,foodandwaterwatch.org,foodandwaterwatch.org,Across the US,Food and Water Watch,https://www.foodandwaterwatch.org,United States
Food & Water Watch,smartseafood,Left,http://www.foodandwaterwatch.org/fish,foodandwaterwatch.org,foodandwaterwatch.org,,Food and Water Watch,https://www.foodandwaterwatch.org,United States
Michelle Allen,miche_allen,Left,http://www.foodandwaterwatch.org/,foodandwaterwatch.org,foodandwaterwatch.org,Atlanta,Food and Water Watch,https://www.foodandwaterwatch.org,United States
ForeignPolicyJournal,forpoljournal,Left,http://www.foreignpolicyjournal.com,foreignpolicyjournal,foreignpolicyjournal,USA,Foreign Policy Journal,https://www.foreignpolicyjournal.com,United States
Foreign Policy News,foreignpolicyns,Left,http://foreignpolicynews.org,foreignpolicynews.org,foreignpolicynews.org,"Washington, DC",Foreign Policy News,http://foreignpolicynews.org,United States
FFRF,ffrf,Left,http://ffrf.org,ffrf.org,ffrf.org,"Madison, WI",Freedom From Religion Foundation (FFRF),https://ffrf.org/,United States
Stacy Whittle,stacywhittle,Left,http://www.frontpagelive.com,frontpagelive,frontpagelive,"Washington, DC",Front Page Live,https://www.frontpagelive.com,United States
Geopolitics Alert,gpworldnews,Left,http://www.geopoliticsalert.com,geopoliticsalert,geopoliticsalert,"Pontiac, MI",Geopolitics Alert,https://geopoliticsalert.com/,United States
Geopolitics Alert,geopoliticsnow,Left,http://geopoliticsalert.com,geopoliticsalert,geopoliticsalert,,Geopolitics Alert,https://geopoliticsalert.com/,United States
Gizmodo,gizmodo,Left,http://gizmodo.com,gizmodo,gizmodo,,Gizmodo,https://gizmodo.com,United States
Gizmodo UK,gizmodouk,Left,http://www.gizmodo.co.uk,gizmodo,gizmodo,London,Gizmodo,https://gizmodo.com,United States
Gizmodo Deals,gizmododeals,Left,http://gizmodo.com/deals,gizmodo,gizmodo,,Gizmodo,https://gizmodo.com,United States
Gizmodo,gizmodousa,Left,http://gizmodo.com/so-who-the-hell-runs-this-amazing-gizzmondo-parody-acco-1785055654/,gizmodo,gizmodo,We COme from An Alternate FUture,Gizmodo,https://gizmodo.com,United States
io9,io9,Left,https://gizmodo.com/io9,gizmodo,gizmodo,,Gizmodo,https://gizmodo.com,United States
GLAAD,glaad,Left,http://glaad.org,glaad.org,glaad.org,United States,GLAAD,https://www.glaad.org/,United States
Sarah Kate Ellis,sarahkateellis,Left,http://www.glaad.org,glaad.org,glaad.org,New York,GLAAD,https://www.glaad.org/,United States
Global Voices,globalvoices,Left,http://globalvoices.org,globalvoices.org,globalvoices.org,World,Global Voices,https://globalvoices.org/,United States
Global Voices Lingua,gvlingua,Left,http://globalvoices.org/lingua/,globalvoices.org,globalvoices.org,The Netherlands,Global Voices,https://globalvoices.org/,United States
Global Voices South Asia,gvsouthasia,Left,https://globalvoices.org/-/world/south-asia/,globalvoices.org,globalvoices.org,,Global Voices,https://globalvoices.org/,United States
Global Voices Francophone,gvfrancophone,Left,https://globalvoices.org/-/languages/french/,globalvoices.org,globalvoices.org,,Global Voices,https://globalvoices.org/,United States
GQ Australia,gqaustralia,Left,http://www.gq.com.au,gq,gq.com.au,Australia,GQ Magazine,https://www.gq.com,United States
Naomi Driessnack (Taylor’s Version),naomidriessnack,Left,http://gq.com,gq,gq.com.au,"San Francisco, CA",GQ Magazine,https://www.gq.com,United States
GuardianLibertyVoice,ifrackle,Left,http://guardianlv.com,guardianlv,guardianlv,"Chicago, IL",Guardian Liberty Voice,https://guardianlv.com/,United States
G Liberty Voice Ent,guardianlv_ent,Left,http://guardianlv.com/,guardianlv,guardianlv,,Guardian Liberty Voice,https://guardianlv.com/,United States
Haaretz.com,haaretzcom,Left,http://www.haaretz.com,haaretz,haaretz,Israel,Haaretz,https://www.haaretz.com/,Israel
Haaretz Weekly Podcast,htzweekly,Left,https://www.haaretz.com/israel-news/podcasts,haaretz,haaretz,"Tel Aviv, Israel",Haaretz,https://www.haaretz.com/,Israel
avi scharf,avischarf,Left,http://haaretz.com,haaretz,haaretz,Israel,Haaretz,https://www.haaretz.com/,Israel
Gideon Levy,levy_haaretz,Left,http://www.haaretz.com/misc/writers/gideon-levy-1.402,haaretz,haaretz,,Haaretz,https://www.haaretz.com/,Israel
HillReporter.com,hillreporter,Left,http://hillreporter.com,hillreporter,hillreporter,"SEA, PDX, CLT, NYC",Hill Reporter,https://hillreporter.com,United States
HuffPost Politics,huffpostpol,Left,https://www.huffpost.com/news/politics,huffpost,huffpost,"Washington, D.C.",Huffington Post (HuffPost),https://www.huffpost.com/,United States
HuffPost,huffpost,Left,https://www.huffpost.com,huffpost,huffpost,,Huffington Post (HuffPost),https://www.huffpost.com/,United States
HuffPost Parents,huffpostparents,Left,https://www.huffpost.com/life/parents,huffpost,huffpost,New York City,Huffington Post (HuffPost),https://www.huffpost.com/,United States
Human Rights Campaign,hrc,Left,https://www.hrc.org,hrc.org,hrc.org,"Washington, DC",Human Rights Campaign (HRC),https://www.hrc.org,United States
HRC in Arizona,hrcaz,Left,http://hrc.org/arizona,hrc.org,hrc.org,Arizona,Human Rights Campaign (HRC),https://www.hrc.org,United States
HRC in Pennsylvania,hrc_pa,Left,http://hrc.org/pennsylvania,hrc.org,hrc.org,,Human Rights Campaign (HRC),https://www.hrc.org,United States
HRC in Ohio,hrc_oh,Left,http://hrc.org/ohio,hrc.org,hrc.org,"Ohio, USA",Human Rights Campaign (HRC),https://www.hrc.org,United States
HRC in Wisconsin,hrc_wi,Left,http://hrc.org/wisconsin,hrc.org,hrc.org,,Human Rights Campaign (HRC),https://www.hrc.org,United States
