Title,twitter,Ideology,URL,URL Reconstruct,URL Redirect Reconstruct,Location,Parent,Parent URL,Parent Country
USA TODAY Politics,usatodaydc,Center-left,http://usatoday.com/washington,usatoday,usatoday,"Washington, D.C.",USA Today,https://www.usatoday.com,United States
USA TODAY NBA,usatodaynba,Center-left,http://usatoday.com/sports/nba,usatoday,usatoday,"USA TODAY HQ, McLean, Va.",USA Today,https://www.usatoday.com,United States
USA TODAY Weather,usatodayweather,Center-left,http://www.usatoday.com/weather/default.htm,usatoday,usatoday,"McLean, Va. (USA TODAY HQ)",USA Today,https://www.usatoday.com,United States
U.S. News & World Report,usnews,Center-left,http://www.usnews.com,usnews,usnews,"Washington, D.C.",US News World Report,https://www.usnews.com/,United States
U.S. News Education,usnewseducation,Center-left,http://www.usnews.com/education,usnews,usnews,"Washington, D.C.",US News World Report,https://www.usnews.com/,United States
Variety,variety,Center-left,http://www.variety.com,variety,variety,"Los Angeles, CA",Variety Magazine,https://variety.com/,United States
Rebecca Davis,rebeccaludavis,Center-left,https://variety.com/author/varietyrebeccadavis/,variety,variety,Beijing,Variety Magazine,https://variety.com/,United States
Vibe Magazine,vibemagazine,Center-left,http://www.vibe.com,vibe,vibe,"New York, NY",Vibe,https://www.vibe.com/,United States
VICE,vice,Center-left,http://www.vice.com,vice,vice,,Vice Media,https://www.vice.com/,United States
Van Scott,vanscottjr,Center-left,http://www.vice.com,vice,vice,New York City,Vice Media,https://www.vice.com/,United States
Suroosh Alvi,surooshalvi,Center-left,https://www.vice.com/en_us/contributor/suroosh-alvi,vice,vice,New York,Vice Media,https://www.vice.com/,United States
Marsha Cooke,marshacooke,Center-left,http://vice.com,vice,vice,"Brooklyn, NY",Vice Media,https://www.vice.com/,United States
Victoria Advocate,vicadvocate,Center-left,http://www.victoriaadvocate.com/,victoriaadvocate,victoriaadvocate,"Victoria, TX USA",Victoria Advocate,https://www.victoriaadvocate.com/,United States
Victoria Advocate EB,advocateeb,Center-left,http://www.victoriaadvocate.com/,victoriaadvocate,victoriaadvocate,"Victoria, TX",Victoria Advocate,https://www.victoriaadvocate.com/,United States
